Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Camila Cabello - Havana (feat. Young Thug)|1034.0|27|94
2|Charli XCX - Boys|782.5|14|88
3|Dua Lipa - New Rules|763.5|7|98
4|Kesha - Hymn|608.0|9|69
5|Camila Cabello - OMG (feat. Quavo)|538.5|10|60
6|Lorde - Perfect Places|536.0|4|77
7|Kesha - Praying|432.5|7|56
8|Kesha - Learn To Let Go|412.5|4|50
9|Louis Tomlinson - Back To You (feat. Bebe Rexha & Digital Farm Animals)|360.0|5|37
10|Lorde - The Louvre|261.5|1|43
11|Lorde - Homemade Dynamite|228.0|0|39
12|Major Lazer - Sua Cara (feat. Anitta & Pabllo Vittar)|221.0|2|21
13|Kesha - Woman (feat. The Dap-Kings Horns)|217.0|0|33
14|BROCKHAMPTON - GUMMY|215.0|8|19
15|Demi Lovato - Sorry Not Sorry|214.5|1|34
16|Lorde - Supercut|199.0|0|30
17|Carly Rae Jepsen - Cut To the Feeling|197.0|1|33
18|Lorde - Green Light|195.0|2|32
19|Cardi B - Bodak Yellow|188.5|3|24
20|Tyler, the Creator - See You Again|175.0|1|22
21|Lana Del Rey - Cherry|167.5|3|21
22|Rae Sremmurd - Perplexing Pegasus|161.5|1|21
23|Selena Gomez - Fetish (feat. Gucci Mane)|160.5|3|28
24|French Montana - Unforgettable (feat. Swae Lee)|158.0|1|19
25|Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)|146.0|0|26
26|소녀시대 - Holiday|140.0|2|13
27|Julia Michaels - Pink|138.0|1|13
28|Paramore - Hard Times|135.5|1|16
29|Taylor Swift - State of Grace|134.0|4|17
30|Lana Del Rey - Summer Bummer (feat. A$AP Rocky & Playboi Carti)|130.0|1|21
31|Lorde - Liability|128.5|0|25
32|소녀시대 - All Night|124.5|2|12
33|Lorde - Sober|120.5|1|26
34|Dua Lipa - Blow Your Mind (Mwah)|120.0|0|18
35|Lorde - Hard Feelings/Loveless|114.0|0|18
36|Kelela - LMK|113.0|1|10
37|Portugal. The Man - Feel It Still|112.5|1|14
38|LIL UZI VERT - XO TOUR Llif3|107.0|1|15
39|Lorde - Sober II (Melodrama)|105.0|0|21
40|Carly Rae Jepsen - Run Away With Me|104.5|2|19
41|Jessie Ware - Midnight|101.5|0|11
42|Taylor Swift - Style|100.5|1|13
43|Dua Lipa - Be The One|100.0|0|17
44|Khalid - Young Dumb & Broke|98.0|0|11
45|Charli XCX - 3am (Pull Up) (feat. MØ)|93.0|1|19
46|SZA - Drew Barrymore|92.5|1|11
47|SZA - Love Galore (feat. Travis Scott)|91.0|0|18
48|Allie X - Casanova|90.5|0|14
49|Calvin Harris - Slide (feat. Frank Ocean & Migos)|90.0|0|12
50|Selena Gomez - Bad Liar|88.5|0|15
51|Lana Del Rey - Love|88.0|0|13
51|Halsey - Strangers (feat. Lauren Jauregui)|88.0|0|19
53|DJ Khaled - Wild Thoughts (feat. Rihanna & Bryson Tiller)|87.0|0|19
54|Charlie Puth - Attention|85.5|1|14
55|Lana Del Rey - In My Feelings|83.5|0|12
56|Lana Del Rey - 13 Beaches|83.0|2|13
56|Julia Michaels - Worst in Me|83.0|0|8
58|Bebe Rexha - That's It (feat. Gucci Mane & 2 Chainz)|82.5|1|11
59|Rita Ora - Your Song|81.0|1|14
60|Julia Michaels - Uh Huh|79.0|2|14
61|Charli XCX - Vroom Vroom|73.0|0|14
61|PVRIS - Winter|73.0|2|8
61|Macklemore - Glorious (feat. Skylar Grey)|73.0|1|12
61|Tyler, the Creator - Who Dat Boy|73.0|0|13
61|Aminé - Wedding Crashers (feat. Offset)|73.0|1|10
66|Lorde - Writer In The Dark|72.5|0|18
67|Kim Petras - I Don't Want It At All|70.0|1|5
68|Julia Michaels - Issues|69.5|0|10
69|Charli XCX - Lipgloss (feat. Cupcakke)|69.0|1|9
69|Lana Del Rey - Get Free|69.0|1|14
71|Sabrina Carpenter - Why|67.0|1|9
72|J Balvin - Mi Gente|66.5|0|13
73|Lana Del Rey - Beautiful People Beautiful Problems (feat. Stevie Nicks)|65.0|1|12
74|Childish Gambino - Redbone|63.5|0|10
75|소녀시대 - Girls Are Back|63.0|0|8
76|SZA - Prom|62.0|1|10
77|Luis Fonsi & Daddy Yankee - Despacito (feat. Justin Bieber)|61.5|0|12
77|Allie X - Paper Love|61.5|0|12
79|Dua Lipa - Hotter Than Hell|59.5|0|13
