Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Taylor Swift - Call It What You Want|2164.0|83|192
2|N.E.R.D & Rihanna - Lemon|832.0|13|86
3|David Guetta - Dirty Sexy Money (feat. Charli XCX & French Montana)|689.5|15|68
4|Taylor Swift - Gorgeous|649.5|2|69
5|Camila Cabello - Havana (feat. Young Thug)|569.0|8|63
6|Taylor Swift - ...Ready For It?|422.5|1|55
7|Rita Ora - Anywhere|385.0|6|42
8|Taylor Swift - Look What You Made Me Do|356.0|2|48
9|Selena Gomez & Marshmello - Wolves|314.5|1|37
10|Dua Lipa - New Rules|302.5|4|46
11|Offset & Metro Boomin - Ric Flair Drip|290.0|7|30
12|Allie X - Casanova|269.5|2|33
13|Aly & AJ - I Know|216.0|4|26
14|MØ - When I Was Young|205.5|0|31
15|21 Savage, Offset & Metro Boomin - Ghostface Killers (feat. Travis Scott)|178.0|1|23
16|Migos, Nicki Minaj & Cardi B - MotorSport|163.0|1|24
17|Clean Bandit - I Miss You (feat. Julia Michaels)|158.5|3|18
18|Post Malone - rockstar (feat. 21 Savage)|150.0|1|26
19|Tove Lo - Disco Tits|146.5|1|23
20|Demi Lovato - Sorry Not Sorry|146.0|1|24
21|Charlie Puth - How Long|136.0|1|22
22|Lil Pump - Gucci Gang|135.5|1|20
23|Alan Walker - All Falls Down (feat. Noah Cyrus & Digital Farm Animals)|125.0|1|13
24|Taylor Swift - Wildest Dreams|124.0|1|20
25|Portugal. The Man - Feel It Still|121.0|1|17
26|Hailee Steinfeld & Alesso - Let Me Go (feat. Florida Georgia Line & watt)|116.0|2|16
27|Lorde - Perfect Places|111.5|0|29
28|Taylor Swift - Style|110.5|0|25
29|Demi Lovato - Daddy Issues|107.0|1|15
30|Sufjan Stevens - Mystery of Love|102.5|3|9
31|Lorde - Supercut|99.5|0|20
32|MØ - Linking With You|91.5|1|11
33|Maroon 5 - What Lovers Do (feat. SZA)|87.0|0|12
34|MØ - Roots|86.5|0|13
35|Lorde - Green Light|85.0|0|15
35|Demi Lovato - Tell Me You Love Me|85.0|0|13
35|MØ - Turn My Heart To Stone|85.0|1|11
38|St. Vincent - Los Ageless|84.0|1|15
38|Taylor Swift - All Too Well|84.0|0|15
40|Kelly Clarkson - Medicine|82.5|0|12
41|Marshmello - Silence (feat. Khalid)|81.5|0|11
41|Rachel Platten - Keep Up|81.5|0|10
43|21 Savage, Offset & Metro Boomin - Rap Saved Me (feat. Quavo)|81.0|0|12
43|Pinegrove - Intrepid|81.0|1|10
45|Taylor Swift - New Romantics|80.0|0|14
46|Yaeji - Drink I'm Sippin On|79.5|1|11
47|Maroon 5 - Wait|79.0|0|14
48|Ariana Grande - Into You|78.5|0|13
49|Kelsea Ballerini - Roses|77.5|0|7
50|Joji - Will He|76.5|1|10
51|Rachel Platten - Collide|76.0|0|12
52|Dua Lipa - Be The One|74.5|0|11
53|Demi Lovato - Cry Baby|73.5|1|8
53|Kim Petras - I Don't Want It At All|73.5|1|7
55|St. Vincent - New York|73.0|2|11
55|Hayley Kiyoko - Feelings|73.0|3|6
57|Lorde - Homemade Dynamite (Remix) (feat. Khalid, Post Malone & SZA)|71.5|0|15
57|SZA - Love Galore (feat. Travis Scott)|71.5|0|11
59|Kelly Clarkson - Love So Soft|71.0|0|10
60|Dagny - Love You Like That|70.5|1|11
60|Lana Del Rey - Off To the Races|70.5|2|7
62|Carly Rae Jepsen - Run Away With Me|70.0|1|14
62|Aly & AJ - Take Me|70.0|1|13
64|Halsey - Bad At Love|69.0|1|17
65|Taylor Swift - Blank Space|68.0|0|13
66|Charli XCX - Boys|67.0|0|15
66|Rachel Platten - Shivers|67.0|1|7
68|Taylor Swift - State of Grace|66.5|0|14
68|Khalid - Young Dumb & Broke|66.5|0|8
70|Lorde - Homemade Dynamite|66.0|0|16
70|21 Savage - My Choppa Hate Niggas|66.0|0|14
70|Kelly Clarkson - Didn't I|66.0|1|7
70|TWICE - LIKEY|66.0|2|5
74|Kelly Clarkson - Whole Lotta Woman|65.5|0|8
75|Post Malone - Candy Paint|65.0|0|8
75|LOOΠΔ / ODD EYE CIRCLE - Sweet Crazy Love|65.0|0|6
77|Camila Cabello - OMG (feat. Quavo)|63.5|0|11
77|Yaeji - raingurl|63.5|0|9
79|Lorde - Ribs|63.0|0|11
79|Fall Out Boy - The Last of The Real Ones|63.0|2|6
81|SZA - Drew Barrymore|61.5|0|10
81|Fifth Harmony - He Like That|61.5|0|7
83|Big Shaq - Man's Not Hot|61.0|1|10
83|Willow - Boy|61.0|1|6
85|Sufjan Stevens - Visions of Gideon|60.5|0|6
86|Lorde - Hard Feelings/Loveless|59.5|0|15
86|Taylor Swift - Speak Now|59.5|0|8
88|St. Vincent - Pills|59.0|1|10
88|Billie Eilish - Bellyache|59.0|0|8
90|Big Sean - Pull Up N Wreck (With Metro Boomin)|58.5|0|10
90|A$AP Ferg - Plain Jane|58.5|1|9
90|Cardi B - Bodak Yellow|58.5|0|9
93|Kelly Clarkson - Heat|58.0|2|9
93|Julien Baker - turn out the lights|58.0|0|8
93|Yaeji - passionfruit|58.0|0|6
96|Lorde - The Louvre|57.5|0|16
97|Kelly Clarkson - Meaning of Life|57.0|1|8
97|Paramore - Rose-Colored Boy|57.0|1|8
99|Sia - Santa's Coming for Us|56.5|1|12
100|Sophie - It's Okay To Cry|56.0|1|12
100|Paramore - Hard Times|56.0|1|9
102|Demi Lovato - Sexy Dirty Love|55.5|0|8
102|Imagine Dragons - Whatever It Takes|55.5|1|5
104|MØ - BB|55.0|0|9
104|Taylor Swift - 22|55.0|0|9
106|St. Vincent - Masseduction|54.5|0|5
107|Avicii - Lonely Together (feat. Rita Ora)|53.0|0|12
107|Offset - Nightmare|53.0|0|11
107|Majid Jordan - Gave Your Love Away|53.0|1|4
110|Selena Gomez - Bad Liar|52.5|0|12
110|Kygo - Stranger Things|52.5|2|9
