Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Charli XCX - No Angel|2172.0|57|195
2|Charli XCX - Focus|1708.5|23|158
3|Florence + The Machine - Hunger|602.5|5|76
4|Ariana Grande - The Light Is Coming (feat. Nicki Minaj)|512.5|3|62
5|Florence + The Machine - South London Forever|487.0|1|58
6|Florence + The Machine - June|456.5|3|53
7|Drake - Don't Matter To Me (feat. Michael Jackson)|456.0|8|55
8|Florence + The Machine - The End Of Love|410.5|6|50
9|Charli XCX - 5 In The Morning|395.0|0|48
10|Drake - Summer Games|378.5|6|46
11|Sophie - Immaterial|375.5|2|48
12|Drake - Nonstop|353.5|4|55
13|Florence + The Machine - Sky Full Of Song|353.5|0|48
14|Mitski - Nobody|352.5|5|35
15|Florence + The Machine - Patricia|344.5|2|45
16|Drake - Nice For What|332.0|1|47
17|Drake - Emotionless|320.5|3|43
18|Florence + The Machine - Big God|314.0|0|47
19|Troye Sivan - Dance To This (feat. Ariana Grande)|308.5|3|36
20|Ariana Grande - No Tears Left To Cry|307.0|4|45
21|Florence + The Machine - Grace|296.0|0|41
22|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|290.0|5|36
23|Years & Years - All for You|264.5|4|28
24|Florence + The Machine - No Choir|260.5|0|42
25|Florence + The Machine - 100 Years|253.5|2|37
26|BLACKPINK - DDU-DU DDU-DU|252.5|2|32
27|Bebe Rexha - I'm a Mess|243.0|3|28
28|Drake - In My Feelings|212.5|4|29
29|Let's Eat Grandma - Hot Pink|194.5|3|25
30|Drake - 8 Out Of 10|192.0|0|35
31|Nicki Minaj - Bed (feat. Ariana Grande)|183.0|1|31
32|Clean Bandit - Solo (feat. Demi Lovato)|181.5|2|24
33|MOMOLAND - BAAM|181.5|6|15
34|Cheat Codes & Little Mix - Only You|177.0|2|20
35|The Carters - Apeshit|176.0|2|27
36|Taylor Swift - Delicate|173.5|3|21
37|Drake - Mob Ties|161.5|1|31
38|5 Seconds Of Summer - Youngblood|159.5|2|23
39|Let's Eat Grandma - It's Not Just Me|153.5|0|25
40|Drake - Sandra's Rose|151.5|0|25
41|Selena Gomez - Back To You|151.5|2|20
42|Sophie - Faceshopping|150.0|1|21
43|Troye Sivan - Bloom|149.5|2|18
44|Let's Eat Grandma - Falling Into Me|148.0|2|21
45|Drake - I'm Upset|147.0|1|25
46|Calvin Harris & Dua Lipa - One Kiss|146.0|1|26
47|Drake - Talk Up (feat. Jay-Z)|145.0|2|29
48|Sophie - Ponyboy|138.0|1|20
49|Demi Lovato - Sober|133.0|2|17
50|Drake - God's Plan|131.0|0|27
51|Drake - Survival|127.5|0|35
52|Drake - Peak|123.0|0|24
53|Panic! at The Disco - Hey Look Ma, I Made It|120.5|1|16
54|Let's Eat Grandma - Donnie Darko|120.0|3|13
55|Kim Petras - I Don't Want It At All|119.0|1|13
56|BLACKPINK - Forever Young|115.5|1|14
57|Sophie - Is It Cold In The Water?|113.5|1|23
58|Drake - Blue Tint|113.0|1|19
59|Panic! at The Disco - High Hopes|113.0|0|17
60|Drake - Elevate|111.0|0|28
61|Gorillaz - Humility (feat. George Benson)|110.5|2|18
62|Lorde - Green Light|108.0|1|17
63|Teyana Taylor - WTP|108.0|2|9
64|Panic! at The Disco - Say Amen (Saturday Night)|105.0|0|17
65|Sophie - Infatuation|103.5|0|22
66|Kids See Ghosts - Freeee (Ghost Town Pt. 2)|102.5|0|16
67|Taylor Swift - Style|101.0|2|12
68|Panic! at The Disco - Roaring 20s|97.0|0|12
69|Kim Petras - Heart To Break|95.0|1|13
70|Nicki Minaj - Chun-Li|94.5|1|10
71|Kids See Ghosts - Feel The Love|94.0|0|17
72|Drake - That's How You Feel|93.0|1|20
73|Janelle Monáe - Screwed (feat. Zoë Kravitz)|92.0|0|14
74|Let's Eat Grandma - Whitewater|91.0|0|17
75|Janelle Monáe - Make Me Feel|90.0|0|18
76|Death Grips - Death Grips Is Online|90.0|0|11
77|Lizzo - Boys|87.0|0|13
78|Childish Gambino - This Is America|86.5|0|14
79|RuPaul - American (feat. The Cast Of RuPaul's Drag Race, Season 10)|86.5|2|8
