Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Nicki Minaj - Barbie Dreams|1015.5|14|121
2|Nicki Minaj - Ganja Burn|893.0|13|101
3|Nicki Minaj - Majesty (feat. Eminem & Labrinth)|717.0|6|92
4|Nicki Minaj - LLC|657.5|7|75
5|Ariana Grande - God is a Woman|532.5|7|67
6|Troye Sivan - Animal|480.5|10|47
7|Nicki Minaj - Good Form|476.5|3|60
8|Rina Sawayama - Cherry|469.0|10|46
9|Nicki Minaj - Bed (feat. Ariana Grande)|380.5|3|57
10|Nicki Minaj - Chun-Li|379.5|4|62
11|LSD - Thunderclouds|377.5|4|44
12|Cher - Gimme! Gimme! Gimme! (A Man After Midnight)|374.5|7|35
13|Nicki Minaj - Coco Chanel (feat. Foxy Brown)|336.0|3|45
14|The Chainsmokers - Side Effects (feat. Emily Warren)|332.5|3|33
15|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|324.0|6|38
16|Nicki Minaj - Rich Sex (feat. Lil Wayne)|320.5|0|49
17|Nicki Minaj - Nip Tuck|301.0|4|44
18|Nicki Minaj - Hard White|279.0|0|48
19|Mitski - Nobody|278.5|2|30
20|Travi$ Scott - Stargazing|273.5|2|36
21|Loona - Favorite|269.0|8|24
22|Robyn - Missing U|265.0|2|34
23|BROODS - Peach|230.5|3|24
24|Charli XCX - Girls Night Out|213.5|2|34
25|Bebe Rexha - I'm a Mess|208.0|2|22
26|Nicki Minaj - Come See About Me|204.5|0|34
27|Charli XCX - No Angel|203.5|2|27
28|The 1975 - TOOTIMETOOTIMETOOTIME|191.5|6|19
29|Ariana Grande - No Tears Left To Cry|189.5|0|26
30|Red Velvet - Power Up|189.5|3|17
31|Nicki Minaj - Chun Swae (feat. Swae Lee)|188.0|0|35
32|bazzi - Beautiful (feat. Camila Cabello)|176.5|3|20
33|Drake - In My Feelings|175.5|0|23
34|The 1975 - Love It If We Made It|174.5|2|20
35|Mitski - Two Slow Dancers|174.0|1|20
36|Nicki Minaj - Thought I Knew You (feat. The Weeknd)|168.5|1|39
37|Nicki Minaj - Run & Hide|168.5|0|33
38|Nicki Minaj - Inspirations (Outro)|168.0|1|25
39|Nicki Minaj - 2 Lit 2 Late Interlude|158.0|0|29
40|Travis Scott - STOP TRYING TO BE GOD (feat. James Blake,|150.5|1|19
41|Benny Blanco - Eastside (with Halsey & Khalid)|147.5|1|21
42|Billie Eilish - you should see me in a crown|147.5|0|18
43|Nina Nesbitt - Loyal To Me|145.5|2|17
44|Troye Sivan - Dance To This (feat. Ariana Grande)|139.0|0|23
45|Twenty One Pilots - Levitate|138.5|4|15
