Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Lady Gaga & Bradley Cooper - Shallow|1432.0|49|125
2|Kim Petras - Close Your Eyes|1426.5|16|135
3|Kim Petras - TRANSylvania|821.0|3|95
4|Kim Petras - Tell Me It's A Nightmare|743.0|3|86
5|Kim Petras - Turn Off The Light (feat. Elvira)|742.5|2|85
6|Kim Petras - In The Next Life|728.0|5|80
7|DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)|695.0|11|64
8|Kim Petras - o m e n|632.0|4|71
9|Robyn - Honey|564.5|13|57
10|Kim Petras - Boo! Bitch!|563.5|3|70
11|Kim Petras - I Don't Wanna Die…|542.0|3|65
12|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|454.0|6|54
13|The Chainsmokers - This Feeling (feat. Kelsea Ballerini)|318.0|2|37
14|Silk City & Dua Lipa - Electricity|317.5|2|41
15|Ariana Grande - breathin|314.0|0|43
16|Nile Rodgers & CHIC - I Want Your Love (feat. Lady Gaga)|300.5|2|27
17|Avril Lavigne - Head Above Water|291.0|1|31
18|Ariana Grande - God is a Woman|264.5|2|38
19|Kero Kero Bonito - Make Believe|262.5|4|33
20|Rita Ora - Let You Love Me|258.0|0|27
21|Young Thug - High (feat. Elton John)|257.5|2|25
22|Lana Del Rey - Mariners Apartment Complex|248.5|4|30
23|Lana Del Rey - Venice Bitch|238.5|2|32
24|BROCKHAMPTON - J'OUVERT|231.0|1|23
25|Ava Max - Sweet but Psycho|230.0|8|22
26|Shawn Mendes & Zedd - Lost In Japan (Remix)|220.0|3|24
27|Lil' Wayne - Don't Cry (feat. XXXTENTACION)|205.5|3|27
28|Lil' Wayne - Uproar|196.5|0|28
29|Kim Petras - Heart To Break|182.5|1|22
30|Kanye West & Lil Pump - I Love It (feat. Adele Givens)|182.0|1|23
31|Sheck Wes - Mo Bamba|181.0|2|15
32|Kim Petras - All The Time|178.5|2|22
33|BROCKHAMPTON - New Orleans|170.0|3|24
34|LSD - Thunderclouds|165.5|3|21
35|Lil' Wayne - Dedicate|161.0|1|20
36|BROCKHAMPTON - HONEY|158.0|0|19
37|Marshmello & Bastille - Happier|156.5|4|18
38|Lil Peep & XXXTentacion - Falling Down|151.0|1|16
39|BROCKHAMPTON - SAN MARCOS|149.0|1|16
40|Lil' Wayne - Can't Be Broken|145.0|1|19
41|Lil' Wayne - Let It Fly (feat. Travis Scott)|144.5|1|20
42|Ariana Grande - No Tears Left To Cry|143.0|2|19
43|Kero Kero Bonito - Only Acting|138.5|0|19
44|Taylor Swift - I Did Something Bad|137.5|2|15
45|Kero Kero Bonito - Time Today|137.0|0|19
46|Lil' Wayne - What About Me (feat. Sosamann)|133.0|1|22
47|BROCKHAMPTON - WEIGHT|131.5|0|15
48|Lauv - There's No Way (feat. Julia Michaels)|127.5|2|13
49|Kero Kero Bonito - Dear Future Self|125.5|0|20
50|Kero Kero Bonito - If I'd Known|122.0|0|17
51|BROCKHAMPTON - TONYA|121.0|0|19
52|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|120.5|1|18
53|BROCKHAMPTON - THUG LIFE|118.5|1|18
54|Lil' Wayne - Dark Side Of The Moon (feat. Nicki Minaj)|117.5|1|19
55|Joji - Slow dancing in The dark|113.0|0|12
56|Troye Sivan - Lucky Strike|111.5|0|16
57|Cher - Dancing queen|110.5|0|14
58|St. Vincent - Slow Slow Disco|107.5|1|20
59|BROCKHAMPTON - BERLIN|107.5|0|16
60|Allie X - Little Things|103.0|1|12
61|Ariana Grande - Sweetener|102.5|1|12
62|Benny Blanco - Eastside (with Halsey & Khalid)|102.0|1|15
63|Charli XCX - No Angel|102.0|0|13
64|Kero Kero Bonito - Visiting Hours|101.5|0|15
65|Taylor Swift - Delicate|100.5|1|16
66|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|100.5|2|13
67|Khalid - Better|100.0|0|10
68|Calvin Harris & Sam Smith - Promises|99.0|0|20
69|BROCKHAMPTON - WHERE THE CASH AT|98.5|1|12
70|Cher - SOS|98.5|0|11
71|Cher - Waterloo|97.0|0|10
72|BROCKHAMPTON - SOMETHING ABOUT HIM|96.5|0|12
73|Ariana Grande - everytime|95.5|0|19
74|Ariana Grande - Goodnight n Go|95.0|0|17
75|LIL UZI VERT - New Patek|95.0|0|9
76|Kero Kero Bonito - Dump|94.5|1|17
77|Terror Jr - A-OK (Everything's Perfect)|93.5|2|8
78|Cher - Mamma Mia|93.0|0|14
79|SunMi - Siren|93.0|2|8
80|The 1975 - TOOTIMETOOTIMETOOTIME|91.5|1|13
81|Ariana Grande - R.E.M|91.0|0|16
82|Kim Petras - I Don't Want It At All|90.5|0|13
83|Lil Baby - Drip Too Hard|88.5|0|8
84|Taylor Swift - Getaway Car|88.0|0|12
85|Hippo Campus - Bambi|87.5|1|9
86|Allie X - Science|86.5|0|10
87|Mitski - Nobody|86.0|1|12
88|Charli XCX - Taxi|84.0|2|9
89|Ariana Grande - Get Well Soon|83.0|0|13
90|Aurora - Churchyard|83.0|0|10
91|Kero Kero Bonito - Flyway|82.5|0|20
92|Taylor Swift - ...Ready For It?|81.5|2|10
93|Loona - Hi High|80.5|1|9
94|BROCKHAMPTON - VIVID|79.5|0|12
94|Christine and The Queens - Doesn't matter|79.5|0|12
94|The Chainsmokers - Side Effects (feat. Emily Warren)|79.5|0|12
97|Mariah Carey - GTFO|78.5|0|12
98|Troye Sivan - Bloom|77.5|0|13
99|BROCKHAMPTON - DISTRICT|76.5|1|11
100|The 1975 - Sincerity Is Scary|75.5|1|10
101|Seulgi - Wow Thing|75.5|2|7
102|Ralph - Gimme|75.5|2|6
103|Taylor Swift - Call It What You Want|74.0|1|10
