Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Charli XCX - 1999 (feat. Troye Sivan)|2750.0|93|249
2|Lady Gaga & Bradley Cooper - Shallow|1132.5|18|114
3|Halsey - Without Me|913.5|22|84
4|Kim Petras - Close Your Eyes|801.0|9|80
5|Lady Gaga - Hair Body Face|788.5|13|82
6|Lady Gaga - Why did you do that?|658.0|5|71
7|Lady Gaga - Heal Me|620.0|4|71
8|Lady Gaga - Is That Alright?|591.5|6|65
9|Lady Gaga - Always Remember Us This Way|587.5|7|64
10|Lady Gaga - I'll Never Love Again|523.5|6|59
11|Sigrid - Sucker Punch|487.5|7|46
12|Kim Petras - Turn Off The Light (feat. Elvira)|473.5|4|55
13|Anderson .Paak - Tints (feat. Kendrick Lamar)|403.5|8|54
14|Lady Gaga - Look What I Found|381.0|1|46
15|Kim Petras - In The Next Life|379.0|1|47
16|Kim Petras - Tell Me It's A Nightmare|363.5|1|47
17|Twenty One Pilots - My Blood|352.5|3|38
18|Kim Petras - TRANSylvania|348.0|3|41
19|Twenty One Pilots - Chlorine|338.0|3|40
20|Ariana Grande - breathin|308.0|1|44
21|Twenty One Pilots - Jumpsuit|305.0|1|36
22|Twenty One Pilots - Morph|300.5|2|39
23|DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)|290.5|2|35
24|Taylor Swift - I Did Something Bad|278.5|6|30
25|Twenty One Pilots - The Hype|246.5|3|31
26|Twenty One Pilots - Levitate|242.5|0|33
27|Mariah Carey - With You|234.0|3|26
28|Ariana Grande - God is a Woman|230.5|0|31
29|Robyn - Honey|229.0|2|29
30|Silk City & Dua Lipa - Electricity|224.0|3|26
31|Lady Gaga - Before I Cry|222.5|0|35
32|Kim Petras - I Don't Wanna Die…|222.5|0|32
33|Kim Petras - o m e n|216.0|1|32
34|Rita Ora - Let You Love Me|203.5|0|24
35|Marshmello & Bastille - Happier|201.5|3|26
36|Kim Petras - Boo! Bitch!|199.5|1|30
37|Ava Max - Sweet but Psycho|199.0|3|19
38|Alessia Cara - Trust My Lonely|194.0|2|24
39|Jessie Ware - Overtime|185.5|1|21
40|Lana Del Rey - Venice Bitch|184.0|2|25
41|Sheck Wes - Mo Bamba|177.0|0|24
42|The Chainsmokers - This Feeling (feat. Kelsea Ballerini)|176.5|3|24
43|Twenty One Pilots - Nico And The Niners|173.0|0|28
44|Twenty One Pilots - Pet Cheetah|170.0|2|22
45|Twenty One Pilots - Smithereens|164.5|0|27
46|Lady Gaga & Bradley Cooper - I Don't Know What Love Is|160.5|0|26
47|Twenty One Pilots - Neon Gravestones|156.5|0|25
48|Lil Baby, Gunna & Drake - Never Recover|154.5|3|19
49|Lady Gaga & Bradley Cooper - Diggin' My Grave|154.0|1|27
50|Bradley Cooper - Black Eyes|149.0|0|24
51|Kim Petras - Heart To Break|144.0|0|21
52|Bradley Cooper - Maybe It's Time|136.5|0|23
53|Avril Lavigne - Head Above Water|132.0|2|17
54|Kero Kero Bonito - Make Believe|129.5|0|19
55|Lady Gaga - La Vie En Rose|128.0|0|18
56|Twenty One Pilots - Bandito|126.0|1|20
57|Lana Del Rey - Mariners Apartment Complex|124.5|1|17
58|Charli XCX - No Angel|123.5|1|14
59|Lady Gaga & Bradley Cooper - Music To My Eyes|122.0|0|25
60|Taylor Swift - Delicate|122.0|0|23
61|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|116.5|1|18
62|Kanye West & Lil Pump - I Love It (feat. Adele Givens)|114.5|1|22
63|BROCKHAMPTON - J'OUVERT|110.5|2|18
64|Twenty One Pilots - Cut My Lip|109.5|1|19
65|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|109.5|1|16
66|Lil' Wayne - Uproar|103.0|2|10
67|Ariana Grande - No Tears Left To Cry|99.0|0|16
68|Joji - Slow dancing in The dark|98.0|3|10
69|Ariana Grande - everytime|97.5|0|20
70|Ariana Grande - R.E.M|96.0|0|19
71|Troye Sivan - Dance To This (feat. Ariana Grande)|96.0|0|12
72|Kim Petras - Hillside Boys|94.5|0|11
73|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|94.0|0|20
74|Camila Cabello - Consequences - orchestra|94.0|0|11
75|Twenty One Pilots - Legend|93.5|0|14
76|Ariana Grande - The Light Is Coming (feat. Nicki Minaj)|92.0|1|13
77|Kero Kero Bonito - Time Today|91.5|1|10
78|Clarence Clarity - Adam & The Evil*|91.0|1|10
79|Lil Peep & XXXTentacion - Falling Down|90.5|0|12
80|Ariana Grande - Goodnight n Go|89.5|0|14
81|Kero Kero Bonito - Only Acting|89.0|1|13
82|Troye Sivan - Bloom|88.5|1|15
83|Calvin Harris & Sam Smith - Promises|84.0|0|12
84|Clarence Clarity - W€ CHANG£|83.0|1|9
85|Allie X - Science|82.0|0|12
86|Allie X - Little Things|81.5|0|13
87|BROCKHAMPTON - New Orleans|81.5|1|9
88|Bradley Cooper - Out Of Time|80.5|0|16
89|Lauv - There's No Way (feat. Julia Michaels)|80.5|1|8
90|5 Seconds Of Summer - Youngblood|78.5|0|12
91|Mitski - Nobody|77.5|1|11
92|Lil Baby - Drip Too Hard (Lil Baby & Gunna)|77.0|2|12
93|BROCKHAMPTON - WEIGHT|77.0|0|8
94|Taylor Swift - Look What You Made Me Do|75.5|1|10
95|Ariana Grande - Sweetener|74.0|0|12
96|Sheck Wes - Gmail|74.0|2|10
97|Bradley Cooper - Alibi|73.5|0|16
98|Kero Kero Bonito - Dear Future Self|72.0|1|10
99|BROCKHAMPTON - HONEY|71.5|0|13
100|Clarence Clarity - Naysayer, Magick Obeyer|71.0|0|9
101|Panic! at The Disco - High Hopes|71.0|2|8
102|Kim Petras - I Don't Want It At All|70.5|0|12
103|Ariana Grande - Successful|70.5|2|10
104|Kero Kero Bonito - Dump|70.0|0|8
105|Taylor Swift - Getaway Car|69.5|1|17
106|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|69.5|1|9
107|Sheck Wes - Chippi Chippi|69.0|0|8
108|Charli XCX - Focus|68.0|0|10
109|LIL PUMP - Multi Millionaire (feat. Lil Uzi Vert)|65.5|0|11
110|Charli XCX - Vroom Vroom|64.5|0|12
111|Rina Sawayama - Cherry|64.5|1|8
112|Ariana Grande - Pete Davidson|63.5|0|9
112|Twenty One Pilots - Leave The City|63.5|0|9
114|Clarence Clarity - Next Best Thing|63.0|1|8
115|Troye Sivan - Plum|62.5|0|11
116|Christine and The Queens - The walker|62.0|0|10
116|Kero Kero Bonito - Flyway|62.0|0|10
118|Kacey Musgraves - High Horse|61.5|0|11
119|Taylor Swift - Dancing with Our Hands Tied|61.0|0|12
120|Carly Rae Jepsen - Run Away With Me|61.0|0|11
121|Jonas Blue - Polaroid|60.5|0|8
122|Sheck Wes - Wanted|60.0|0|10
123|Mariah Carey - GTFO|60.0|0|9
124|Taylor Swift - ...Ready For It?|59.5|0|11
125|Sharon Van Etten - Comeback Kid|59.5|1|5
126|Ariana Grande - Better Off|58.0|1|9
127|BROCKHAMPTON - DISTRICT|57.5|1|8
128|BTS - IDOL|57.5|0|6
129|Young Thug - High (feat. Elton John)|57.0|1|10
130|Clarence Clarity - CC-Wave|56.5|1|7
131|Shawn Mendes & Zedd - Lost In Japan (Remix)|56.5|0|6
132|Loona - Hi High|56.5|2|5
133|St. Vincent - Los Ageless|55.5|0|11
