Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Charli XCX - 1999 (feat. Troye Sivan)|2193.5|62|192
2|Lady Gaga & Bradley Cooper - Shallow|872.0|10|102
3|Halsey - Without Me|525.5|5|54
4|Little Mix - Woman Like Me (feat. Nicki Minaj)|510.5|8|58
5|Lady Gaga - Hair Body Face|507.0|7|54
6|Lady Gaga - Always Remember Us This Way|481.0|5|52
7|Ariana Grande - breathin|450.0|4|60
8|Lady Gaga - Look What I Found|377.5|2|43
9|Lady Gaga - Why did you do that?|358.5|5|42
10|Bad Bunny - MIA (feat. Drake)|336.5|8|34
11|Lady Gaga - Heal Me|327.5|2|38
12|Lady Gaga - Is That Alright?|304.5|2|39
13|Lady Gaga - I'll Never Love Again|301.5|1|37
14|Kim Petras - Close Your Eyes|279.5|2|41
15|DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)|273.5|2|33
16|Ava Max - Sweet but Psycho|231.0|3|23
17|Twenty One Pilots - Chlorine|230.5|3|26
18|Rita Ora - Let You Love Me|215.5|0|24
19|Kodak Black - ZEZE (feat. Travis Scott & Offset)|214.0|3|23
20|Silk City & Dua Lipa - Electricity|209.0|1|29
21|Twenty One Pilots - The Hype|198.0|2|24
22|Ariana Grande - God is a Woman|192.0|1|40
23|IU - BBIBBI|190.0|5|17
24|Twenty One Pilots - My Blood|185.5|1|22
25|Taylor Swift - I Did Something Bad|182.5|2|23
26|Maggie Rogers - Light On|181.0|3|23
27|Marshmello & Bastille - Happier|180.5|3|25
28|Twenty One Pilots - Jumpsuit|180.0|2|23
29|Twenty One Pilots - Morph|178.0|1|21
30|Kim Petras - In The Next Life|177.0|1|22
31|Sigrid - Sucker Punch|176.0|2|19
32|Astrid S - Emotion|173.5|3|22
33|Robyn - Honey|167.5|1|26
34|Kim Petras - Turn Off The Light (feat. Elvira)|160.0|1|23
35|Twenty One Pilots - Levitate|154.5|0|20
36|The Chainsmokers - This Feeling (feat. Kelsea Ballerini)|150.0|1|20
37|Billie Eilish - when The party's over|143.5|0|20
38|Kim Petras - Tell Me It's A Nightmare|139.5|0|23
39|St. Vincent - Slow Slow Disco|138.0|0|20
40|Lana Del Rey - Venice Bitch|136.0|0|21
41|Kim Petras - Heart To Break|135.5|2|18
42|Ariana Grande - Pete Davidson|135.0|0|17
43|Charli XCX - No Angel|133.5|0|22
44|Taylor Swift - Delicate|129.0|0|21
45|Lana Del Rey - Mariners Apartment Complex|128.0|1|22
46|Quavo - RERUN (feat. Travis Scott)|128.0|2|12
47|Kim Petras - TRANSylvania|127.0|1|16
48|Jess Glynne - Thursday|124.0|1|15
49|Kim Petras - All The Time|122.0|0|20
50|Twenty One Pilots - Pet Cheetah|120.5|0|19
51|Quavo - CHAMPAGNE ROSÉ (feat. Madonna & Cardi B)|116.5|5|11
52|Twenty One Pilots - Neon Gravestones|114.5|0|15
53|Calvin Harris & Sam Smith - Promises|113.0|1|13
54|Lady Gaga & Bradley Cooper - I Don't Know What Love Is|110.0|2|13
55|Sheck Wes - Mo Bamba|107.0|1|19
56|Camila Cabello - Consequences - orchestra|107.0|0|17
57|Panic! at The Disco - High Hopes|106.0|1|11
58|Lady Gaga - Before I Cry|105.0|1|18
59|Ariana Grande - Goodnight n Go|104.5|0|16
60|Taylor Swift - Call It What You Want|103.5|1|17
61|Taylor Swift - All Too Well|102.5|1|13
62|Ariana Grande - No Tears Left To Cry|101.0|0|24
63|Kim Petras - Boo! Bitch!|99.0|1|18
64|Twenty One Pilots - Cut My Lip|99.0|1|12
65|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|99.0|1|11
66|Charli XCX - Focus|98.0|0|16
67|BROCKHAMPTON - J'OUVERT|96.5|0|13
68|Troye Sivan - Lucky Strike|95.0|0|12
69|Loona - Hi High|93.0|1|14
