Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Charli XCX - 1999 (feat. Troye Sivan)|1219.5|18|129
2|Dua Lipa & BLACKPINK - Kiss and Make Up|1206.5|33|112
3|Zara Larsson - Ruin My Life|788.5|17|77
4|Lady Gaga & Bradley Cooper - Shallow|552.5|9|63
5|Post Malone & Swae Lee - Sunflower|484.0|8|46
6|The 1975 - It's Not Living (If It's Not with You)|443.5|11|45
7|Halsey - Without Me|433.0|5|49
8|Billie Eilish - when The party's over|429.0|6|51
9|MØ - Blur|383.5|4|43
10|Normani & Calvin Harris - Slow Down|369.5|4|41
11|Lady Gaga - Why did you do that?|355.0|2|38
12|Lady Gaga - Hair Body Face|350.5|0|42
13|Ava Max - Sweet but Psycho|348.0|2|33
14|Lady Gaga - Always Remember Us This Way|326.0|2|41
15|Mariah Carey - The Distance (feat. Ty Dolla $ign)|291.0|6|28
16|Lauren Jauregui - Expectations|289.0|3|34
17|Ariana Grande - breathin|281.0|3|38
18|MØ - I Want You|270.5|3|34
19|MØ - If It's Over (feat. Charli XCX)|268.0|2|33
20|Silk City & Dua Lipa - Electricity|267.5|2|40
21|Empress Of - I Don't Even Smoke Weed|253.5|5|26
22|Kim Petras - Close Your Eyes|228.5|1|31
23|Little Mix - Woman Like Me (feat. Nicki Minaj)|217.5|1|24
24|DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)|216.5|0|26
25|Normani & Calvin Harris - Checklist (feat. Wizkid)|214.5|3|24
26|Lady Gaga - Heal Me|211.0|0|31
27|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|209.0|2|28
28|Lady Gaga - Look What I Found|200.0|0|29
29|Lady Gaga - Is That Alright?|195.0|1|27
30|Rita Ora - Let You Love Me|191.0|0|19
31|Kim Petras - Turn Off The Light (feat. Elvira)|185.0|0|22
32|Kim Petras - Heart To Break|184.5|2|21
33|Bad Bunny - MIA (feat. Drake)|184.0|2|24
34|MØ - Way Down|182.5|1|27
35|Lady Gaga - I'll Never Love Again|177.5|0|25
36|Dua Lipa - Running|175.0|1|22
37|Sheck Wes - Mo Bamba|172.0|2|16
38|Marshmello & Bastille - Happier|170.0|0|22
39|MØ & Diplo - Sun In Our Eyes|163.5|0|27
40|Kim Petras - Tell Me It's A Nightmare|157.5|0|18
41|Major Lazer - Blow That Smoke (feat. Tove Lo)|157.0|1|20
42|MØ - Beautiful Wreck|147.0|2|21
43|MØ - Red Wine (feat. Empress Of)|146.5|0|22
44|Ariana Grande - raindrops (an angel cried)|139.5|0|17
45|Khalid - Suncity (feat. Empress Of)|139.0|0|21
45|MØ - Nostalgia|139.0|0|21
47|Empress Of - When I'm with Him|138.5|1|18
48|Cardi B - Money|138.5|2|17
49|Empress Of - Timberlands|130.0|2|14
50|Kim Petras - I Don't Want It At All|128.5|2|15
51|Lana Del Rey - Venice Bitch|124.5|0|15
52|MØ - Mercy (feat. What So Not & Two Feet)|123.5|0|22
53|Twenty One Pilots - My Blood|121.5|0|17
54|BLACKPINK - DDU-DU DDU-DU|121.5|1|15
55|Twenty One Pilots - The Hype|120.5|0|16
56|MØ - Imaginary Friend|116.5|0|19
57|Kodak Black - ZEZE (feat. Travis Scott & Offset)|116.0|0|20
58|IU - BBIBBI|115.5|1|11
59|Sigrid - Sucker Punch|115.0|0|14
60|Kim Petras - In The Next Life|111.0|0|15
61|Ariana Grande - God is a Woman|108.5|0|25
62|Charli XCX - Focus|108.0|0|15
63|Kim Petras - TRANSylvania|106.0|1|12
64|Mitski - Nobody|105.0|0|13
65|The 1975 - Love It If We Made It|105.0|1|11
66|Empress Of - Love for Me|102.5|0|14
67|Kim Petras - All The Time|100.5|1|10
68|LIL PEEP - Cry Alone|98.5|1|12
69|Twenty One Pilots - Chlorine|97.0|1|14
70|The 1975 - TOOTIMETOOTIMETOOTIME|97.0|1|13
71|Robyn - Honey|96.0|2|12
72|Twenty One Pilots - Morph|95.5|2|13
73|Kim Petras - Hillside Boys|92.5|0|10
74|Panic! at The Disco - High Hopes|91.5|0|13
75|The Chainsmokers - This Feeling (feat. Kelsea Ballerini)|91.0|1|12
76|Taylor Swift - I Did Something Bad|90.5|1|14
77|Taylor Swift - Delicate|88.5|0|19
78|Martin Garrix - Waiting For Tomorrow (feat. Mike Shinoda)|88.0|2|9
79|Charli XCX - No Angel|87.5|0|9
79|Cher Lloyd - None Of my Business|87.5|0|9
81|Twenty One Pilots - Pet Cheetah|84.5|1|11
82|Taylor Swift - ...Ready For It?|83.5|1|12
83|Beach House - Alien|83.5|1|10
84|RM - seoul|83.5|0|8
85|Twenty One Pilots - Cut My Lip|83.0|0|9
86|Jon Bellion - Conversations with my Wife|83.0|3|8
87|slayyyter - Candy|83.0|1|7
88|MØ - Intro|80.0|0|19
89|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|80.0|0|9
90|Twenty One Pilots - Jumpsuit|79.0|0|11
91|April - oH! mY mIstAke|78.0|1|7
92|Twenty One Pilots - Levitate|76.0|0|12
93|Lady Gaga - La Vie En Rose|75.0|0|9
94|Twenty One Pilots - Legend|74.0|0|9
95|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|73.0|0|12
96|Mitski - Geyser|73.0|1|8
97|Ella Mai - Trip|73.0|0|7
98|Ariana Grande - everytime|72.0|0|18
99|Lana Del Rey - Mariners Apartment Complex|72.0|0|13
100|Khalid - Vertigo|71.5|0|13
101|Empress Of - Just The Same|70.5|0|13
102|Charli XCX - Girls Night Out|69.0|0|11
102|St. Vincent - Los Ageless|69.0|0|11
104|Tove Styrke - Vibe|69.0|0|10
105|Loona - Hi High|69.0|2|9
106|Lady Gaga - G.U.Y.|68.5|2|6
107|Khalid - Better|68.0|2|14
108|MØ - West Hollywood (Interlude)|68.0|0|13
109|Future - Fine China|68.0|0|12
110|Vice - Make Up (feat. Ava Max)|68.0|2|6
111|Ariana Grande - Goodnight n Go|67.5|0|14
112|The 1975 - Sincerity Is Scary|66.5|0|10
113|5 Seconds Of Summer - Youngblood|65.0|1|10
114|Lady Gaga - Before I Cry|64.5|0|10
115|Ellie Goulding - Close To Me (feat. Swae Lee)|63.5|0|11
116|Dua Lipa - Want To|63.5|0|10
117|Ariana Grande - No Tears Left To Cry|63.0|0|19
118|Kacey Musgraves - High Horse|63.0|1|9
119|Maggie Rogers - Light On|63.0|0|9
120|RM - moonchild|63.0|0|7
121|Lady Gaga & Bradley Cooper - Music To My Eyes|62.5|0|11
122|Kesha - Thinking Of You|61.5|1|6
123|Martin Garrix - Scared To Be Lonely|61.0|0|10
124|Jess Glynne - Thursday|60.5|1|8
125|Empress Of - Everything To Me|58.5|0|11
126|Taylor Swift - Call It What You Want|58.0|0|9
127|Julien Baker - Me & My Dog|58.0|1|5
128|Ariana Grande - Pete Davidson|57.5|0|14
129|Empress Of - All For Nothing|57.5|0|9
130|FROMIS_9 - Love Bomb|57.5|0|6
131|RM - tokyo|56.5|0|6
132|Mariah Carey - With You|55.5|0|10
133|Lil' Wayne - Mona Lisa (feat. Kendrick Lamar)|55.0|0|11
134|xxxtentacion - SAD!|54.0|1|6
135|Ariana Grande - Successful|53.5|0|11
136|Kim Petras - I Don't Wanna Die…|53.5|0|7
137|Drake - In My Feelings|53.0|1|8
138|Lorde - Ribs|53.0|0|8
139|Empress Of - I've Got Love|53.0|0|7
140|Dominic Fike - 3 Nights|53.0|3|4
141|Young Thug - High (feat. Elton John)|52.5|1|5
142|Empress Of - Again|52.0|1|8
143|Twenty One Pilots - Neon Gravestones|52.0|0|8
144|Lady Gaga & Bradley Cooper - Diggin' My Grave|51.5|0|9
145|Kero Kero Bonito - Make Believe|51.5|1|8
146|Joji - Slow dancing in The dark|51.5|0|7
147|Alessia Cara - Trust My Lonely|51.0|0|9
148|Troye Sivan - Lucky Strike|51.0|1|7
149|Anderson .Paak - Tints (feat. Kendrick Lamar)|50.5|0|9
150|Taylor Swift - End Game (feat. Ed Sheeran & Future)|50.5|0|8
151|Dua Lipa - Last Dance|50.5|0|7
152|Britney Spears - ...Baby One More Time|50.0|1|8
153|Taylor Swift - Dress|50.0|1|7
154|Kacey Musgraves - Butterflies|50.0|1|6
155|Powers Pleasant - Please Forgive (feat. Denzel Curry, IDK, Zombie Juice & ZillaKami)|50.0|0|6
156|A Pink - I'm So Sick|50.0|0|5
157|Lorde - Supercut|49.5|0|8
158|Taylor Swift - All Too Well|49.5|2|5
159|Taylor Swift - Delicate (Seeb Remix)|49.5|1|4
160|Troye Sivan - Plum|49.0|0|6
161|Jess Glynne - All I Am|48.5|0|8
162|NoName - Self|48.5|0|5
163|Charli XCX - 5 In The Morning|48.0|1|12
164|Years & Years - All for You|48.0|1|7
165|Calvin Harris & Dua Lipa - One Kiss|47.5|0|9
166|MØ - Purple Like The Summer Rain|47.5|0|8
167|Ariana Grande - R.E.M|47.0|2|11
168|Lady Gaga & Bradley Cooper - I Don't Know What Love Is|47.0|0|8
169|Kim Petras - o m e n|47.0|0|7
169|Rina Sawayama - Cherry|47.0|0|7
171|Lorde - Liability|46.5|0|9
172|Sophie - IMMATERIAL|46.5|1|7
173|Shawn Mendes & Zedd - Lost In Japan (Remix)|46.5|1|5
174|Charli XCX - Vroom Vroom|46.0|0|14
175|Kero Kero Bonito - Only Acting|46.0|2|8
176|Camila Cabello - Consequences - orchestra|46.0|1|7
177|Charli XCX - Taxi|46.0|1|5
178|Empress Of - Trust Me Baby|45.5|0|9
179|Lady Gaga - Bad Romance|45.5|0|8
179|Lorde - Team|45.5|0|8
181|Red Velvet - Bad Boy|45.5|0|7
182|Aminé - REEL IT IN|45.0|0|5
183|MØ - Trying To Be Good|44.5|0|8
184|Avril Lavigne - Head Above Water|44.5|0|7
184|Twenty One Pilots - Bandito|44.5|0|7
186|George Ezra - Shotgun|44.5|2|4
187|Calvin Harris & Sam Smith - Promises|44.0|1|7
188|Taylor Swift - Gorgeous|44.0|0|6
189|Billie Eilish - you should see me in a crown|44.0|0|5
190|Graveyardguy - Final Girl|44.0|2|3
191|Ariana Grande - blazed (feat. Pharrell Williams)|43.5|0|8
191|Bradley Cooper - Maybe It's Time|43.5|0|8
193|Maggie Rogers - Alaska|43.5|0|7
194|BLACKPINK - Forever Young|43.5|0|6
194|Jess Glynne - No One|43.5|0|6
194|Selena Gomez - Back To You|43.5|0|6
197|RÜFÜS DU SOL - Underwater|43.5|0|5
198|Kim Petras - Boo! Bitch!|43.0|0|7
199|SunMi - Siren|43.0|0|6
200|Carly Rae Jepsen - Boy Problems|43.0|0|5
201|Raven-Symoné - Raven's Pie|43.0|1|3
202|Post Malone - Better Now|42.5|0|10
203|Demi Lovato - Cool for The Summer|42.0|0|8
204|Selena Gomez - Bad Liar|42.0|1|6
205|(G)I-DLE - HANN (Alone)|42.0|0|5
206|Kero Kero Bonito - Outside|41.5|0|8
207|bazzi - Beautiful (feat. Camila Cabello)|41.5|0|6
207|Tyler, The Creator - You're A Mean One, Mr. Grinch|41.5|0|6
209|Lady Gaga - Judas|41.5|1|5
210|slayyyter - I'm High|41.5|0|5
211|slayyyter - Platform Shoes|41.5|0|4
212|Kacey Musgraves - Slow Burn|41.0|0|6
212|Zayn - Fingers|41.0|0|6
214|RM - uhgood|41.0|0|5
215|Mariah Carey - It's Like That|41.0|0|3
216|My Chemical Romance - Welcome To The Black Parade|40.5|0|7
217|Taylor Swift - New Year's Day|40.5|0|6
218|Lil Baby - Drip Too Hard (Lil Baby & Gunna)|40.5|0|5
219|Ariana Grande - Into You|40.0|0|8
220|Jess Glynne - I'll Be There|40.0|0|7
221|Britney Spears - Slumber Party (feat. Tinashe)|40.0|0|6
222|Lorde - Green Light|39.5|0|10
223|Dua Lipa - New Rules|39.5|1|7
224|Lil Yachty - Yacht Club (feat. Juice WRLD)|39.5|0|6
225|Imagine Dragons - Natural|39.0|0|6
226|Loona - Favorite|39.0|0|5
226|Nicki Minaj - Good Form|39.0|0|5
228|Poppy - Hard Feelings|39.0|0|4
229|The Weeknd - Reminder|39.0|1|3
230|Ariana Grande - Get Well Soon|38.5|0|8
231|LOOΠΔ / ODD EYE CIRCLE - Sweet Crazy Love|38.5|0|5
232|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|38.0|0|9
233|Lorde - The Louvre|38.0|0|8
234|Dua Lipa - Room For 2|38.0|1|5
235|Carly Rae Jepsen - Your Type|38.0|0|5
235|Jess Glynne - 123|38.0|0|5
235|Kero Kero Bonito - Swimming|38.0|0|5
235|Robyn - Missing U|38.0|0|5
239|Ellie Goulding - Lights|38.0|0|3
240|Lorde - Sober|37.5|0|8
241|Lorde - Perfect Places|37.5|0|7
242|Lauren Daigle - You Say|37.5|1|4
243|Twenty One Pilots - Smithereens|37.0|0|7
244|A$AP Rocky - Praise The Lord (Da Shine)|37.0|0|4
245|Britney Spears - Toxic|36.5|0|12
246|Carly Rae Jepsen - Cut To The Feeling|36.5|0|10
247|Carly Rae Jepsen - Run Away With Me|36.5|0|7
248|Taylor Swift - Don't Blame Me|36.5|1|6
249|Twenty One Pilots - Nico And The Niners|36.5|0|6
250|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|36.5|0|5
250|Fleetwood Mac - Rhiannon|36.5|0|5
252|Julia Holter - Words I Heard|36.5|0|4
253|Lorde - Homemade Dynamite|36.0|0|8
254|Benny Blanco - Eastside (with Halsey & Khalid)|36.0|0|7
255|Taylor Swift - So It Goes...|36.0|1|5
256|Polyphia - Nasty (feat. Jason Richardson)|36.0|2|4
