Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Charli XCX - 1999 (feat. Troye Sivan)|751.5|9|93
2|Allie X - Girl Of The Year|743.5|20|68
3|Robyn - Honey|719.5|7|82
4|Robyn - Because It's In The Music|650.5|2|79
5|Robyn - Missing U|617.0|3|72
6|Dua Lipa & BLACKPINK - Kiss and Make Up|565.5|5|64
7|Robyn - Between The Lines|555.0|2|63
8|Robyn - Ever Again|552.5|3|63
9|Robyn - Human Being (feat. Zhala)|499.5|2|64
10|Robyn - Baby Forgive Me|496.5|0|60
11|Lady Gaga & Bradley Cooper - Shallow|484.0|8|55
12|Halsey - Without Me|475.0|5|51
13|Robyn - Send To Robin Immediately|470.0|7|59
14|Robyn - Beach2k20|416.5|3|54
15|Billie Eilish - when The party's over|350.5|5|39
16|Ellie Goulding & Diplo - Close To Me (feat. Swae Lee)|327.0|3|39
17|Kim Petras - Close Your Eyes|325.0|2|42
18|Lauren Jauregui - Expectations|323.5|1|38
19|Zara Larsson - Ruin My Life|317.0|4|38
20|Post Malone & Swae Lee - Sunflower|313.0|9|33
21|Allie X - Super Sunset Interlude|300.0|1|39
22|Allie X - Little Things|285.0|2|36
23|Ava Max - Sweet but Psycho|284.0|4|34
24|Cardi B - Money|283.5|4|31
25|Allie X - Science|278.0|1|34
26|Ariana Grande - breathin|276.0|2|39
27|Lady Gaga - Always Remember Us This Way|266.5|1|30
28|Normani & Calvin Harris - Slow Down|238.5|1|31
29|Little Mix - Woman Like Me (feat. Nicki Minaj)|235.5|3|29
30|Allie X - Super Sunset Intro|231.5|2|28
31|Joji - Slow dancing in The dark|225.0|2|27
32|Sabrina Carpenter - Paris|223.5|2|22
33|Allie X - Can't Stop Now|217.5|2|25
34|Travis Scott - SICKO MODE (feat. Drake, Juicy J & Swae Lee)|209.5|3|24
35|Sigrid - Sucker Punch|207.0|4|25
36|Ariana Grande - God is a Woman|203.0|1|31
37|Kim Petras - Turn Off The Light (feat. Elvira)|201.0|0|27
38|Lady Gaga - Why did you do that?|201.0|1|26
39|DJ Snake - Taki Taki (with Selena Gomez, Ozuna & Cardi B)|195.5|1|24
40|Allie X - Not So Bad In LA|188.0|0|25
41|The 1975 - It's Not Living (If It's Not with You)|185.5|3|20
42|Kim Petras - Tell Me It's A Nightmare|182.5|1|22
43|Lady Gaga - Hair Body Face|173.0|1|29
44|Kim Petras - TRANSylvania|163.0|0|22
45|Normani & Calvin Harris - Checklist (feat. Wizkid)|160.5|1|25
46|Poppy - X|160.0|5|13
